Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S0198,15,100,69,86,9.7,1
S0199,20,13,10,13,1.3,0
S0200,21,61,65,63,8.8,1
S0201,16,62,34,63,5.5,1
S0202,17,32,14,20,2.7,0
S0203,16,13,20,10,2.2,0
S0204,22,57,71,63,7.0,1
S0205,20,32,24,32,1.9,0
S0206,15,46,48,42,3.8,1
S0207,19,14,16,20,1.2,0
S0208,22,59,80,66,6.0,1
S0209,18,25,26,25,3.6,0
S0210,20,92,98,88,9.8,1
S0211,22,31,42,32,5.5,0
S0212,20,70,61,71,6.9,1
S0213,21,13,38,16,3.2,0
S0214,20,10,10,11,1.3,0
S0215,21,13,10,11,1.7,0
S0216,20,40,50,42,8.2,1
S0217,16,46,37,45,6.6,1
S0218,18,26,35,31,3.7,0
S0219,19,86,86,65,8.5,1
S0220,15,55,56,59,6.8,1
S0221,17,52,69,72,8.4,1
S0222,21,10,14,19,4.0,0
S0223,22,46,28,10,2.7,0
S0224,18,53,51,61,4.0,1
S0225,21,39,39,45,5.3,1
S0226,19,10,13,10,1.0,0
S0227,16,22,30,25,3.2,0
S0228,21,23,44,19,1.4,0
S0229,21,10,11,10,1.0,0
S0230,15,50,38,45,3.5,1
S0231,15,24,42,42,3.2,0
S0232,22,50,50,54,6.3,1
S0233,21,21,21,15,1.6,0
S0234,22,11,10,16,1.1,0
S0235,18,56,47,62,7.3,1
S0236,17,87,84,78,6.8,1
S0237,15,23,25,19,4.2,0
S0238,15,42,35,35,3.9,0
S0239,20,18,10,10,1.8,0
S0240,22,68,75,75,9.8,1
S0241,22,30,21,12,0.9,0
S0242,19,55,53,66,5.4,1
S0243,18,28,23,24,3.2,0
S0244,20,34,35,26,4.7,0
S0245,17,19,10,16,5.2,0
S0246,21,10,10,10,1.2,0
S0247,16,35,24,22,3.6,0
S0248,22,55,30,70,3.8,1
S0249,19,49,46,45,6.6,1
S0250,17,89,79,78,9.6,1
S0251,16,12,18,17,2.7,0
S0252,17,61,62,53,7.0,1
S0253,20,26,40,37,4.3,0
S0254,22,45,47,35,5.4,1
S0255,18,87,63,69,10.0,1
S0256,16,42,57,52,4.8,1
S0257,20,40,46,54,6.8,1
S0258,17,64,70,60,7.3,1
S0259,16,71,66,75,9.9,1
S0260,20,44,45,42,4.9,1
S0261,21,63,73,59,10.0,1
S0262,16,18,10,16,1.7,0
S0263,17,58,77,85,8.8,1
S0264,21,44,45,53,5.3,1
S0265,17,21,44,21,3.6,0
S0266,16,10,20,20,2.9,0
S0267,16,70,59,61,5.3,1
S0268,20,41,48,47,8.5,1
S0269,19,45,44,46,6.7,1
S0270,19,54,50,41,6.6,1
S0271,22,27,15,23,1.2,0
S0272,17,14,40,11,3.5,0
S0273,17,54,52,57,7.7,1
S0274,22,36,21,38,2.9,0
S0275,18,79,98,82,9.6,1
S0276,18,47,37,46,7.7,1
S0277,15,12,10,14,1.4,0
S0278,15,10,10,10,1.0,0
S0279,15,53,42,33,8.5,1
S0280,20,27,17,27,0.9,0
S0281,21,36,54,41,5.3,1
S0282,16,29,34,23,1.7,0
S0283,20,72,58,62,7.7,1
S0284,17,51,69,71,7.3,1
S0285,17,23,38,24,3.6,0
S0286,19,35,22,35,6.1,0
S0287,22,61,62,50,8.2,1
S0288,15,59,57,44,6.2,1
S0289,18,49,41,43,7.4,1
S0290,21,15,19,15,1.9,0
S0291,15,33,30,36,4.7,0
S0292,22,63,68,69,8.8,1
S0293,20,66,73,62,10.0,1
S0294,20,21,27,23,5.7,0
S0295,19,57,44,49,6.3,1
S0296,19,44,43,55,7.8,1
S0297,19,12,21,11,3.2,0
S0298,20,69,70,85,9.6,1
S0299,20,50,63,73,9.3,1
S0300,19,65,58,62,9.4,1
S0301,18,15,16,20,1.0,0
S0302,20,78,79,69,7.3,1
S0303,17,48,47,54,4.4,1
S0304,19,10,25,21,3.6,0
S0305,15,94,86,92,9.2,1
S0306,21,80,71,62,8.0,1
S0307,15,10,10,10,0.6,0
S0308,22,82,71,87,8.9,1
S0309,20,13,15,21,2.0,0
S0310,19,42,56,34,5.9,1
S0311,21,62,55,58,5.4,1
S0312,20,81,72,81,9.4,1
S0313,20,27,19,19,3.4,0
S0314,15,48,37,31,6.8,0
S0315,19,25,33,42,7.1,0
S0316,17,18,10,18,5.0,0
S0317,22,51,64,53,7.7,1
S0318,16,33,36,31,5.5,0
S0319,18,57,45,50,5.9,1
S0320,18,36,30,35,7.3,0
S0321,17,40,22,41,5.4,0
S0322,15,30,37,40,4.3,0
S0323,20,51,71,38,7.2,1
S0324,22,10,10,10,0.8,0
S0325,21,37,48,38,4.1,1
S0326,16,39,41,41,7.0,1
S0327,17,73,85,67,9.9,1
S0328,15,61,48,60,9.8,1
S0329,18,26,32,15,2.9,0
S0330,16,10,19,10,0.8,0
S0331,18,26,11,17,2.5,0
S0332,15,37,18,31,2.8,0
S0333,15,25,33,19,1.8,0
S0334,20,29,34,43,2.8,0
S0335,19,27,41,26,1.1,0
S0336,21,57,47,48,5.8,1
S0337,20,51,50,55,7.1,1
S0338,18,72,65,45,8.6,1
S0339,21,66,66,72,9.7,1
S0340,16,70,70,67,9.3,1
S0341,19,30,44,36,4.1,0
S0342,18,42,46,46,5.1,1
S0343,18,100,93,100,9.6,1
S0344,18,43,32,42,4.3,0
S0345,20,28,10,17,3.4,0
S0346,22,61,53,57,7.7,1
S0347,18,71,56,64,7.5,1
S0348,19,20,17,10,1.9,0
S0349,20,18,28,29,2.9,0
S0350,17,58,47,52,7.5,1
S0351,15,43,45,43,5.5,1
S0352,15,35,37,38,4.4,0
S0353,22,14,12,16,4.0,0
S0354,22,10,11,10,0.6,0
S0355,19,10,21,10,0.7,0
S0356,16,61,55,57,9.2,1
S0357,20,23,10,22,3.0,0
S0358,18,27,41,29,3.3,0
S0359,15,13,10,10,1.4,0
S0360,17,13,10,38,1.3,0
S0361,16,72,84,67,9.0,1
S0362,22,35,36,48,3.1,0
S0363,15,20,21,24,2.2,0
S0364,21,76,48,60,9.3,1
S0365,20,18,29,29,4.1,0
S0366,20,10,10,10,1.0,0
S0367,21,76,66,58,9.7,1
S0368,18,39,35,32,3.9,0
S0369,16,63,62,59,7.8,1
S0370,21,35,41,47,7.3,1
S0371,15,60,57,56,9.5,1
S0372,21,26,35,29,4.8,0
S0373,16,37,60,52,6.2,1
S0374,16,18,26,35,7.4,0
S0375,21,25,20,21,2.1,0
S0376,19,33,30,37,4.5,0
S0377,22,53,40,64,6.1,1
S0378,20,61,39,52,8.5,1
S0379,17,10,10,16,3.4,0
S0380,21,81,55,68,9.7,1
S0381,18,41,11,38,3.6,0
S0382,18,30,10,27,6.1,0
S0383,22,90,76,73,9.5,1
S0384,21,64,57,62,6.9,1
S0385,21,99,77,88,8.0,1
S0386,21,40,54,41,5.7,1
S0387,16,27,20,23,1.5,0
S0388,21,77,65,65,9.7,1
S0389,18,28,19,25,5.4,0
S0390,21,22,49,52,4.9,1
S0391,22,10,10,10,1.5,0
S0392,17,34,12,20,3.8,0
S0393,16,28,28,46,4.7,0
S0394,16,10,12,10,0.7,0
S0395,18,32,23,37,5.4,0
S0396,21,67,43,62,6.5,1
S0397,18,38,37,42,4.8,0
S0398,16,41,45,53,6.0,1
S0399,16,27,24,26,3.0,0
S0400,21,49,22,27,6.1,0
S0401,19,50,52,61,9.2,1
S0402,16,10,10,17,2.2,0
S0403,21,25,40,15,4.5,0
S0404,17,40,34,46,5.8,1
S0405,15,74,78,82,8.7,1
S0406,22,21,13,21,4.4,0
S0407,15,64,61,67,8.1,1
S0408,22,39,34,46,5.9,0
S0409,19,58,64,62,7.9,1
S0410,22,49,55,38,5.7,1
S0411,19,76,75,71,8.8,1
S0412,16,76,53,57,7.9,1
S0413,21,28,23,25,2.1,0
S0414,20,36,45,37,5.6,0
S0415,19,49,50,46,9.5,1
S0416,21,89,100,99,9.2,1
S0417,18,20,18,10,1.9,0
S0418,17,54,32,48,6.0,1
S0419,16,23,40,29,4.3,0
S0420,22,48,44,35,3.6,1
S0421,22,29,45,36,6.5,0
S0422,21,55,50,62,8.3,1
S0423,17,38,34,34,5.9,0
S0424,16,49,54,48,6.4,1
S0425,22,14,11,11,0.5,0
S0426,19,24,20,21,2.0,0
S0427,20,49,38,42,6.8,1
S0428,18,43,40,43,4.6,1
S0429,18,42,37,44,5.4,1
S0430,21,48,59,53,7.1,1
S0431,16,31,34,21,3.5,0
S0432,17,47,36,45,6.6,1
S0433,17,24,39,40,4.7,0
S0434,22,72,68,59,8.7,1
S0435,21,22,14,25,3.8,0
S0436,18,28,35,23,5.8,0
S0437,19,14,10,23,2.5,0
S0438,18,56,39,45,5.2,1
S0439,15,77,85,71,9.9,1
S0440,20,58,52,49,5.7,1
S0441,16,32,21,11,0.6,0
S0442,19,40,37,36,6.5,0
S0443,17,31,25,33,3.1,0
S0444,20,10,18,18,4.2,0
S0445,21,56,65,62,7.4,1
S0446,22,67,58,58,6.3,1
S0447,15,49,62,50,7.2,1
S0448,19,42,28,45,2.1,0
S0449,15,24,16,38,3.7,0
S0450,16,38,39,34,5.2,0
S0451,17,42,33,30,2.9,0
S0452,15,12,10,16,0.9,0
S0453,17,22,26,12,2.2,0
S0454,21,41,14,34,2.6,0
S0455,20,12,14,22,1.6,0
S0456,15,86,77,95,9.6,1
S0457,20,10,10,16,1.3,0
S0458,18,24,28,24,4.9,0
S0459,18,20,10,17,1.9,0
S0460,15,86,93,76,9.5,1
S0461,16,31,54,27,2.4,0
S0462,17,85,82,69,7.3,1
S0463,20,29,24,38,4.9,0
S0464,21,10,10,10,1.2,0
S0465,19,71,76,68,8.6,1
S0466,22,35,33,23,3.1,0
S0467,17,10,11,11,1.5,0
S0468,18,23,31,25,4.8,0
S0469,19,61,65,57,8.4,1
S0470,16,64,71,67,7.3,1
S0471,17,10,10,10,0.8,0
S0472,22,13,29,20,1.5,0
S0473,18,14,10,13,1.7,0
S0474,19,100,100,100,9.2,1
S0475,17,13,39,36,1.4,0
S0476,15,10,10,10,2.1,0
S0477,21,26,16,34,2.1,0
S0478,15,31,18,37,6.3,0
S0479,22,16,16,25,1.1,0
S0480,18,43,70,54,6.5,1
S0481,20,35,33,39,5.1,0
S0482,19,23,28,10,2.2,0
S0483,15,54,45,50,8.2,1
S0484,17,10,17,10,1.5,0
S0485,15,69,79,70,7.8,1
S0486,17,10,10,10,2.2,0
S0487,15,56,59,60,7.2,1
S0488,22,48,56,48,5.7,1
S0489,15,66,65,68,5.5,1
S0490,17,68,84,75,9.2,1
S0491,17,59,78,69,7.9,1
S0492,21,49,56,40,6.1,1
S0493,21,72,84,90,8.0,1
S0494,20,15,11,27,2.6,0
S0495,17,36,18,29,2.2,0
S0496,15,26,10,10,2.2,0
S0497,16,92,81,100,9.4,1
S0498,17,65,60,58,6.5,1
S0499,20,43,41,38,4.7,1
S0500,16,69,60,67,7.3,1
S0501,21,39,39,36,5.2,0
S0502,18,43,32,41,2.0,0
S0503,16,25,15,10,1.2,0
S0504,16,50,47,44,3.7,1
S0505,17,47,32,62,6.3,1
S0506,21,39,49,57,7.1,1
S0507,18,11,10,10,1.4,0
S0508,15,44,26,29,4.6,0
S0509,15,10,10,10,2.5,0
S0510,21,42,39,40,5.0,1
S0511,20,66,57,67,8.9,1
S0512,18,57,56,55,8.5,1
S0513,20,55,46,49,8.2,1
S0514,21,57,57,45,8.3,1
S0515,18,67,55,50,5.0,1
S0516,17,12,38,14,1.6,0
S0517,18,10,10,10,1.7,0
S0518,17,80,64,60,8.4,1
S0519,21,22,10,24,5.8,0
S0520,15,46,42,55,8.0,1
S0521,17,14,25,25,5.9,0
S0522,16,63,78,70,8.0,1
S0523,22,41,28,45,5.9,0
S0524,21,14,17,29,0.9,0
S0525,19,88,82,91,9.0,1
S0526,22,36,54,60,8.7,1
S0527,22,65,48,50,7.9,1
S0528,22,18,29,15,2.5,0
S0529,15,53,41,46,5.4,1
S0530,15,21,25,25,2.2,0
S0531,15,61,70,59,9.2,1
S0532,16,64,31,59,7.0,1
S0533,22,48,54,36,6.1,1
S0534,16,26,10,14,3.2,0
S0535,18,43,45,48,6.7,1
S0536,15,48,44,38,5.0,1
S0537,19,48,66,45,7.3,1
S0538,22,13,13,10,2.9,0
S0539,16,35,39,27,0.6,0
S0540,19,33,42,29,3.3,0
S0541,19,10,17,24,3.0,0
S0542,18,61,61,67,9.0,1
S0543,17,15,35,44,7.4,0
S0544,21,16,31,23,7.5,0
S0545,18,40,53,43,7.0,1
S0546,19,62,75,77,8.5,1
S0547,17,45,72,46,7.5,1
S0548,20,59,58,47,6.7,1
S0549,20,19,24,24,4.0,0
S0550,16,46,35,33,5.0,0
S0551,21,12,16,21,1.0,0
S0552,22,19,27,24,1.9,0
S0553,17,43,42,50,3.5,1
S0554,17,38,30,34,5.2,0
S0555,21,36,20,33,4.6,0
S0556,15,59,67,68,9.0,1
S0557,18,25,36,33,2.6,0
S0558,19,17,18,33,2.1,0
S0559,20,31,44,34,4.6,0
S0560,18,27,39,35,2.1,0
S0561,17,36,42,41,2.5,0
S0562,15,12,12,15,4.1,0
S0563,15,50,46,44,6.8,1
S0564,21,29,18,26,1.7,0
S0565,15,11,17,30,3.4,0
S0566,17,40,39,41,4.5,1
S0567,16,19,38,11,5.2,0
S0568,20,57,46,54,7.2,1
S0569,22,45,57,37,3.6,1
S0570,22,34,26,24,1.9,0
S0571,19,31,22,26,6.6,0
S0572,17,66,66,65,8.8,1
S0573,16,13,21,10,1.4,0
S0574,17,38,46,60,3.6,1
S0575,20,74,72,64,8.2,1
S0576,21,45,46,41,7.1,1
S0577,17,84,80,82,7.1,1
S0578,22,54,51,62,8.1,1
S0579,15,69,84,72,8.7,1
S0580,22,15,11,19,1.6,0
S0581,18,63,53,67,9.8,1
S0582,16,26,27,26,4.6,0
S0583,17,28,47,39,8.5,0
S0584,17,32,36,40,5.3,0
S0585,20,27,28,37,2.8,0
S0586,21,77,67,70,8.3,1
S0587,22,53,42,43,4.7,1
S0588,21,10,10,10,0.8,0
S0589,19,50,45,55,9.0,1
S0590,15,62,67,58,8.3,1
S0591,20,78,68,74,7.3,1
S0592,19,44,48,36,5.7,1
S0593,21,10,17,10,1.5,0
S0594,22,73,65,63,8.3,1
S0595,16,49,48,44,7.8,1
S0596,22,10,10,10,0.5,0
S0597,17,76,72,68,7.1,1
S0598,20,36,32,14,5.3,0
S0599,19,36,30,26,4.3,0
S0600,19,54,53,46,8.5,1
S0601,18,11,10,24,2.4,0
S0602,17,32,43,42,5.3,0
S0603,22,57,51,48,6.0,1
S0604,19,66,70,68,8.8,1
S0605,15,71,60,62,6.9,1
S0606,19,40,36,42,1.9,0
S0607,20,88,75,64,8.2,1
S0608,21,14,23,37,2.8,0
S0609,21,55,54,68,4.2,1
S0610,15,79,68,57,7.6,1
S0611,18,54,64,56,9.2,1
S0612,18,67,72,77,7.9,1
S0613,17,68,77,72,9.6,1
S0614,19,10,10,19,1.7,0
S0615,17,19,23,13,0.9,0
S0616,19,30,33,26,5.2,0
S0617,18,53,59,61,9.6,1
S0618,21,21,10,21,1.4,0
S0619,18,57,47,58,9.5,1
S0620,15,17,10,10,1.6,0
S0621,18,62,85,59,9.6,1
S0622,21,23,10,23,2.9,0
S0623,22,48,33,38,5.1,0
S0624,16,29,33,31,2.1,0
S0625,18,63,46,58,8.7,1
S0626,21,62,70,72,6.6,1
S0627,20,19,15,19,0.9,0
S0628,18,65,52,63,9.2,1
S0629,21,37,26,30,6.9,0
S0630,15,84,86,83,7.2,1
S0631,19,63,30,52,6.3,1
S0632,15,34,20,42,5.0,0
S0633,19,91,93,74,9.6,1
S0634,20,94,92,93,9.6,1
S0635,21,50,50,36,5.6,1
S0636,20,30,40,41,2.5,0
S0637,19,42,37,17,2.3,0
S0638,22,70,63,68,6.6,1
S0639,22,72,61,67,9.5,1
S0640,16,72,56,59,9.1,1
S0641,17,46,38,40,5.9,1
S0642,18,47,54,63,8.0,1
S0643,20,59,52,65,8.8,1
S0644,17,61,65,44,6.6,1
S0645,18,27,29,29,3.0,0
S0646,15,41,46,48,8.2,1
S0647,19,56,56,49,5.7,1
S0648,18,43,56,56,9.0,1
S0649,16,20,28,10,4.3,0
S0650,17,66,50,58,7.7,1
S0651,17,49,48,55,7.5,1
S0652,16,39,10,25,3.0,0
S0653,21,38,43,35,5.0,0
S0654,19,73,67,71,8.4,1
S0655,20,49,49,69,6.1,1
S0656,18,44,18,30,5.4,0
S0657,15,50,55,50,5.3,1
S0658,18,35,29,15,1.9,0
S0659,21,51,52,60,8.2,1
S0660,17,48,51,51,6.6,1
S0661,17,66,68,64,6.5,1
S0662,17,33,10,10,5.4,0
S0663,19,85,62,75,9.5,1
S0664,18,41,50,44,8.4,1
S0665,19,10,10,10,2.1,0
S0666,21,43,44,32,4.2,0
S0667,21,56,67,52,8.4,1
S0668,16,10,10,10,1.4,0
S0669,21,43,33,40,5.5,0
S0670,22,58,48,38,8.0,1
S0671,16,50,37,33,4.5,1
S0672,21,42,51,41,2.9,1
S0673,15,53,33,39,4.1,1
S0674,21,67,42,54,6.7,1
S0675,19,72,56,65,9.9,1
S0676,17,24,21,31,4.0,0
S0677,21,57,64,58,7.5,1
S0678,17,10,10,10,1.5,0
S0679,15,20,22,21,2.0,0
S0680,21,21,10,10,1.3,0
S0681,21,32,14,23,6.3,0
S0682,17,47,34,33,6.6,0
S0683,19,15,18,14,2.4,0
S0684,15,10,21,19,3.9,0
S0685,21,28,10,20,3.9,0
S0686,16,50,41,50,9.2,1
S0687,20,81,76,85,9.7,1
S0688,15,24,27,24,3.0,0
S0689,16,77,84,72,8.1,1
S0690,22,52,56,38,9.7,1
S0691,22,60,61,69,7.0,1
S0692,21,65,65,71,6.5,1
S0693,20,63,60,64,5.4,1
S0694,20,20,10,35,1.2,0
S0695,19,10,23,29,2.2,0
S0696,18,58,62,66,7.5,1
S0697,20,48,29,26,2.0,0
S0698,15,56,42,57,7.8,1
S0699,22,70,75,81,9.0,1
S0700,19,31,24,33,4.3,0
S0701,15,38,39,46,5.3,1
S0702,22,45,39,46,3.5,1
S0703,20,58,47,55,6.3,1
S0704,20,26,21,19,4.0,0
S0705,21,33,22,26,3.2,0
S0706,16,51,62,56,7.3,1
S0707,17,51,61,61,5.0,1
S0708,20,67,47,53,8.0,1
S0709,17,10,10,11,1.1,0
S0710,20,26,19,11,3.0,0
S0711,21,19,36,42,1.7,0
S0712,17,79,54,70,9.8,1
S0713,22,66,57,58,9.0,1
S0714,17,57,52,55,6.6,1
S0715,16,15,10,10,1.3,0
S0716,21,13,10,14,3.1,0
S0717,22,38,33,25,4.4,0
S0718,16,21,26,15,2.5,0
S0719,15,10,10,10,0.8,0
S0720,17,20,23,33,1.3,0
S0721,22,75,75,64,6.5,1
S0722,20,49,55,42,8.7,1
S0723,17,66,58,64,9.7,1
S0724,21,33,30,44,5.5,0
S0725,16,37,31,32,4.7,0
S0726,17,31,48,21,3.8,0
S0727,22,16,15,22,3.3,0
S0728,20,23,27,39,2.3,0
S0729,21,68,55,58,8.4,1
S0730,19,12,10,33,3.2,0
S0731,17,32,11,28,1.8,0
S0732,22,25,17,22,2.3,0
S0733,16,41,37,34,3.2,0
S0734,15,42,44,12,5.2,0
S0735,22,59,57,54,7.1,1
S0736,19,74,75,82,7.9,1
S0737,21,86,74,87,8.4,1
S0738,22,31,29,27,2.8,0
S0739,18,30,29,44,5.0,0
S0740,15,52,44,53,7.6,1
S0741,20,68,80,77,8.9,1
S0742,20,10,10,15,0.6,0
S0743,15,30,48,50,6.0,1
S0744,18,37,56,20,2.0,0
S0745,15,10,10,10,1.1,0
S0746,18,12,10,27,3.5,0
S0747,18,10,10,10,0.7,0
S0748,22,32,22,30,5.8,0
S0749,20,69,62,49,7.5,1
S0750,16,31,14,23,5.5,0
S0751,21,60,58,74,7.5,1
S0752,20,41,39,54,7.3,1
S0753,22,70,56,67,7.8,1
S0754,16,67,71,70,5.5,1
S0755,18,18,10,10,1.5,0
S0756,22,35,31,47,5.5,0
S0757,16,16,35,15,0.6,0
S0758,22,77,80,70,8.1,1
S0759,20,78,58,71,8.0,1
S0760,19,25,19,18,1.2,0
S0761,21,13,10,10,2.3,0
S0762,21,49,51,49,7.6,1
S0763,21,75,62,73,8.9,1
S0764,17,14,33,19,5.6,0
S0765,20,58,54,46,8.5,1
S0766,18,63,54,46,5.8,1
S0767,22,34,36,24,4.8,0
S0768,17,78,73,84,9.9,1
S0769,15,72,84,72,7.8,1
S0770,17,10,10,23,1.4,0
S0771,18,22,10,34,2.7,0
S0772,16,54,63,48,7.4,1
S0773,16,56,38,41,6.2,1
